cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
Astrocyte,ENSMUSG00000026976,Pax8,0.09697933227344992,0.10917131788012205,0.8352019985497241
Astrocyte,ENSMUSG00000022491,Glycam1,0.28139904610492844,1.096156210187932,0.8250038040037413
Astrocyte,ENSMUSG00000004231,Pax2,0.2702702702702703,0.3576144258012147,0.8099790736442025
Astrocyte,ENSMUSG00000059325,Hopx,0.5596184419713831,1.9975412575101184,0.7605933038971859
Astrocyte,ENSMUSG00000005917,Otx1,0.18124006359300476,0.25465184567449095,0.7333644374813362
Astrocyte,ENSMUSG00000047216,Cdh19,0.10492845786963434,0.0991517637337992,0.7118171663154068
Astrocyte,ENSMUSG00000055254,Ntrk2,0.7758346581875993,3.6415854291610827,0.7107877764998612
Astrocyte,ENSMUSG00000021070,Bdkrb2,0.08585055643879173,0.09426122745563602,0.6887666312997613
Astrocyte,ENSMUSG00000020932,Gfap,0.724960254372019,16.916604566885315,0.6862613028139009
Astrocyte,ENSMUSG00000005320,Fgfr4,0.07472178060413355,0.07853324027265568,0.6834036248913016
Astrocyte,ENSMUSG00000029838,Ptn,0.5914149443561209,1.9298132712589904,0.6787892089498664
Astrocyte,ENSMUSG00000033208,S100b,0.23370429252782193,0.46862706168200985,0.6775702561634319
Astrocyte,ENSMUSG00000031665,Sall1,0.10810810810810811,0.11093457524160591,0.6617196397675813
Astrocyte,ENSMUSG00000041559,Fmod,0.11446740858505565,0.1811155097675834,0.651778725335381
Astrocyte,ENSMUSG00000027015,Cybrd1,0.07154213036565978,0.08063119519944667,0.651518386611601
Astrocyte,ENSMUSG00000015090,Ptgds,0.23052464228934816,1.0197225565858656,0.6354668674199166
Astrocyte,ENSMUSG00000046447,Camk2n1,0.46899841017488075,1.3476716326805447,0.630705861686929
Astrocyte,ENSMUSG00000017390,Aldoc,0.17170111287758347,0.2846690886881631,0.6226261797131353
Astrocyte,ENSMUSG00000017446,C1qtnf1,0.06041335453100159,0.06265931845888488,0.6217299509400309
Astrocyte,ENSMUSG00000000753,Serpinf1,0.48807631160572335,1.7925086466131188,0.6211518849925779
Astrocyte,ENSMUSG00000035686,Thrsp,0.2575516693163752,0.5303182665951535,0.6202358141502184
Astrocyte,ENSMUSG00000042436,Mfap4,0.15262321144674085,0.2642817232107024,0.6145691355950504
Astrocyte,ENSMUSG00000047759,Hs3st3a1,0.06995230524642289,0.06268642345215769,0.5872485734469206
Astrocyte,ENSMUSG00000070407,Hs3st3b1,0.0985691573926868,0.1198287441699818,0.5848860877104926
Astrocyte,ENSMUSG00000067860,Zic3,0.07313195548489666,0.10420851026776293,0.5835923023545682
Astrocyte,ENSMUSG00000026185,Igfbp5,0.8457869634340223,29.296728163053537,0.5804738835867504
Astrocyte,ENSMUSG00000006369,Fbln1,0.41812400635930047,0.8394167577439873,0.5784050495704592
Astrocyte,ENSMUSG00000030209,Grin2b,0.07313195548489666,0.1198773498134692,0.5730050763753706
