cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
BP,ENSMUSG00000041460,Cacna2d4,0.18636363636363637,0.368507170539318,0.9453414784871428
BP,ENSMUSG00000117081,Gm49948,0.08181818181818182,0.11100382993390276,0.9234137320037539
BP,ENSMUSG00000005649,Cabp5,0.056818181818181816,0.07701420083774092,0.9053400441972037
BP,ENSMUSG00000010803,Gabra1,0.07954545454545454,0.1139243437512553,0.8955234649347297
BP,ENSMUSG00000041578,Crx,0.23863636363636365,0.4701015831592186,0.8847028938507067
BP,ENSMUSG00000022935,Grik1,0.3840909090909091,6.012169307248771,0.8814177966029425
BP,ENSMUSG00000090223,Pcp4,0.29318181818181815,0.8627256067042508,0.869562120859104
BP,ENSMUSG00000046321,Hs3st2,0.1,0.26671330816705824,0.8639082461768295
BP,ENSMUSG00000022876,Samsn1,0.25681818181818183,0.8283653463985615,0.847703422795341
BP,ENSMUSG00000021848,Otx2,0.5909090909090909,1.5189400749487583,0.8434019942041633
BP,ENSMUSG00000056494,Cngb3,0.15,0.2630168999906472,0.7765972165263381
BP,ENSMUSG00000039037,St6galnac5,0.4,0.857565295369783,0.7760036242838875
BP,ENSMUSG00000039714,Cplx3,0.10227272727272728,0.1812965348993871,0.7739442986902442
BP,ENSMUSG00000051228,Nyx,0.07954545454545454,0.09735661004801581,0.7729600345240377
BP,ENSMUSG00000028661,Epha8,0.07045454545454545,0.11937331004810464,0.7721032370935755
BP,ENSMUSG00000045613,Chrm2,0.05909090909090909,0.09579089204110257,0.7693596190359123
BP,ENSMUSG00000055026,Gabrg3,0.5022727272727273,2.3888986088329567,0.7610058765908815
BP,ENSMUSG00000029088,Kcnip4,0.5818181818181818,14.618267767715727,0.758165911686982
BP,ENSMUSG00000036356,Csgalnact1,0.4863636363636364,1.4961080671396048,0.746461094945609
BP,ENSMUSG00000039488,Cntn5,0.06818181818181818,0.6103986110217331,0.7427261344373222
BP,ENSMUSG00000096606,Tpbgl,0.08636363636363636,0.1016572937530904,0.7394185412508401
BP,ENSMUSG00000027016,Zfp385b,0.7227272727272728,5.425542895493598,0.736079771985927
BP,ENSMUSG00000056158,Car10,0.7227272727272728,8.011239002847153,0.7341776647338178
BP,ENSMUSG00000036800,Fam135b,0.6818181818181818,3.6955998219478476,0.7338640054457939
BP,ENSMUSG00000063434,Sorcs3,0.08409090909090909,0.18914224130183027,0.7328487684163693
BP,ENSMUSG00000026468,Lhx4,0.6590909090909091,1.654402877783935,0.7327331255298997
BP,ENSMUSG00000022237,Ankrd33b,0.3431818181818182,0.7980900765683006,0.7325258518053217
BP,ENSMUSG00000026163,Sphkap,0.3795454545454545,1.3083685217309584,0.7054383235883301
BP,ENSMUSG00000021730,Hcn1,0.5545454545454546,3.3030622543126227,0.6934086500824411
BP,ENSMUSG00000026904,Slc4a10,0.10681818181818181,0.23856344127814028,0.6825096107814721
BP,ENSMUSG00000054667,Irs4,0.09318181818181819,0.17905361626135233,0.6821111240059232
BP,ENSMUSG00000020436,Gabrg2,0.22045454545454546,0.32182898962454104,0.6815672342554336
BP,ENSMUSG00000021708,Rasgrf2,0.1590909090909091,0.27096491838174175,0.6783024929075976
BP,ENSMUSG00000040972,Igsf21,0.4431818181818182,0.809828006538823,0.6758217433679294
BP,ENSMUSG00000034701,Neurod1,0.23636363636363636,0.40066332752456074,0.6612257012491541
BP,ENSMUSG00000039539,Sgcz,0.19772727272727272,1.3622783501915825,0.6582079331565819
BP,ENSMUSG00000091722,Siah3,0.06363636363636363,0.09522096209693823,0.6458765656851448
BP,ENSMUSG00000023439,Gnb3,0.10909090909090909,0.14653322019007337,0.6355832769252072
BP,ENSMUSG00000033676,Gabrb3,0.7363636363636363,4.953694053658202,0.6250261675479314
BP,ENSMUSG00000050896,Rtn4rl2,0.056818181818181816,0.07073794033265561,0.6196488206247772
BP,ENSMUSG00000062257,Opcml,0.6227272727272727,6.530399770206137,0.6176241884442375
BP,ENSMUSG00000011171,Vipr2,0.13863636363636364,0.21175675432294067,0.6133647475496476
BP,ENSMUSG00000035486,Plk5,0.075,0.08176172775209799,0.612828684036828
BP,ENSMUSG00000034891,Sncb,0.05454545454545454,0.09984673361011086,0.5995469544634198
BP,ENSMUSG00000040907,Atp1a3,0.26590909090909093,0.4664607871173276,0.5993807179199612
BP,ENSMUSG00000052551,Adarb2,0.30227272727272725,1.288394140621691,0.5977352388515169
BP,ENSMUSG00000048015,Neurod4,0.65,1.9546342443711786,0.5959413987952367
BP,ENSMUSG00000073565,Prr16,0.40454545454545454,1.1216370442585606,0.5907732732907602
BP,ENSMUSG00000036006,Ripor2,0.1159090909090909,0.18996973960010277,0.5882827715178264
BP,ENSMUSG00000042258,Isl1,0.08863636363636364,0.1368857406508755,0.577765063022906
BP,ENSMUSG00000029778,Adcyap1r1,0.0659090909090909,0.07985412412837521,0.5712253853400695
BP,ENSMUSG00000025370,Cdh9,0.056818181818181816,0.17705076020832003,0.5656334565414012
BP,ENSMUSG00000034098,Fstl5,0.2318181818181818,0.5824254974716088,0.5650395066671914
BP,ENSMUSG00000055214,Pld5,0.05227272727272727,0.1034691330204194,0.5564119634584043
BP,ENSMUSG00000017740,Slc12a5,0.05227272727272727,0.08862672213626836,0.5534858027595329
