cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
Bipolar,ENSMUSG00000117081,Gm49948,0.08665105386416862,0.12317291898720971,0.9491957657592541
Bipolar,ENSMUSG00000041578,Crx,0.24824355971896955,0.4900655549496776,0.9371508661285628
Bipolar,ENSMUSG00000022935,Grik1,0.405152224824356,6.321098334432176,0.9338320703225894
Bipolar,ENSMUSG00000041460,Cacna2d4,0.19672131147540983,0.39071322281249826,0.9135111957150202
Bipolar,ENSMUSG00000005649,Cabp5,0.0585480093676815,0.0805380708110462,0.9075623811231488
Bipolar,ENSMUSG00000028661,Epha8,0.07494145199063232,0.12838036092853825,0.8858323832438105
Bipolar,ENSMUSG00000021848,Otx2,0.5831381733021077,1.5270152314614949,0.8788587283675142
Bipolar,ENSMUSG00000039037,St6galnac5,0.41217798594847777,0.8945075668872424,0.875509323726107
Bipolar,ENSMUSG00000056158,Car10,0.7540983606557377,8.430825413882529,0.8666959522197853
Bipolar,ENSMUSG00000090223,Pcp4,0.3091334894613583,0.9227648470044537,0.8599051894769261
Bipolar,ENSMUSG00000046321,Hs3st2,0.10304449648711944,0.27891707069276417,0.8586608823390514
Bipolar,ENSMUSG00000026904,Slc4a10,0.11241217798594848,0.25030053136751,0.8533895914293536
Bipolar,ENSMUSG00000036800,Fam135b,0.6955503512880562,3.8568280869565728,0.8469176261616462
Bipolar,ENSMUSG00000026468,Lhx4,0.65807962529274,1.672998207097308,0.8369228548285896
Bipolar,ENSMUSG00000054667,Irs4,0.0936768149882904,0.18542186984145959,0.8354535936960953
Bipolar,ENSMUSG00000027016,Zfp385b,0.7494145199063232,5.697633455357824,0.8312546303747237
Bipolar,ENSMUSG00000050896,Rtn4rl2,0.0585480093676815,0.07397463306205089,0.8277095538960298
Bipolar,ENSMUSG00000091722,Siah3,0.06557377049180328,0.09957790257691015,0.8263832619059577
Bipolar,ENSMUSG00000039714,Cplx3,0.11007025761124122,0.191904735324819,0.8229919816248747
Bipolar,ENSMUSG00000039488,Cntn5,0.0702576112412178,0.6383280748573515,0.8225696274456378
Bipolar,ENSMUSG00000062257,Opcml,0.6440281030444965,6.850898073640108,0.8202784800569907
Bipolar,ENSMUSG00000045613,Chrm2,0.06323185011709602,0.10371890329236577,0.8180370117402032
Bipolar,ENSMUSG00000063434,Sorcs3,0.08665105386416862,0.1977966538329872,0.810417929828761
Bipolar,ENSMUSG00000048015,Neurod4,0.6627634660421545,2.0264303023566783,0.8053455804207607
Bipolar,ENSMUSG00000042258,Isl1,0.08665105386416862,0.1308969299224308,0.8042195882640284
Bipolar,ENSMUSG00000021708,Rasgrf2,0.16627634660421545,0.2848546390386926,0.8028997279299515
Bipolar,ENSMUSG00000056494,Cngb3,0.1592505854800937,0.2788557271436272,0.8027655716901546
Bipolar,ENSMUSG00000040972,Igsf21,0.4566744730679157,0.8475660884205288,0.7986018384852034
Bipolar,ENSMUSG00000023439,Gnb3,0.11241217798594848,0.15167254988514076,0.7906275746539501
Bipolar,ENSMUSG00000034701,Neurod1,0.22716627634660422,0.4048751150169551,0.7817504075701011
Bipolar,ENSMUSG00000036356,Csgalnact1,0.48711943793911006,1.5227092814960685,0.7807459788030687
Bipolar,ENSMUSG00000021730,Hcn1,0.5761124121779859,3.4738290211633363,0.7755078416523058
Bipolar,ENSMUSG00000039539,Sgcz,0.20374707259953162,1.4388920413673814,0.7743321518299283
Bipolar,ENSMUSG00000026163,Sphkap,0.4028103044496487,1.3958453183338662,0.7665209606513645
