cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
MG,ENSMUSG00000041559,Fmod,0.4624624624624625,0.6455854408360546,0.7474027293799459
MG,ENSMUSG00000079465,Col4a3,0.24324324324324326,0.3205599104612641,0.6905200301814514
MG,ENSMUSG00000024164,C3,0.06606606606606606,0.07078543871609945,0.6815961954657415
MG,ENSMUSG00000022367,Has2,0.27627627627627627,0.3060041184857682,0.6681531568426812
MG,ENSMUSG00000051727,Kctd14,0.06906906906906907,0.05937093185370827,0.6629982571876633
MG,ENSMUSG00000021186,Fbln5,0.6786786786786787,2.2614880769584853,0.6628683424263058
MG,ENSMUSG00000022479,Vdr,0.2222222222222222,0.1887407282606356,0.6498192119771888
MG,ENSMUSG00000024810,Il33,0.2552552552552553,0.2951670575444254,0.6139293940743364
MG,ENSMUSG00000026822,Lcn2,0.05105105105105105,0.06582820441818675,0.5968966949843406
MG,ENSMUSG00000020325,Fstl3,0.3183183183183183,0.3581193488841436,0.5915077255449401
MG,ENSMUSG00000030717,Nupr1,0.5165165165165165,0.8688126611452842,0.5858573478319546
MG,ENSMUSG00000028179,Cth,0.16216216216216217,0.14383424374076584,0.5833015106188129
MG,ENSMUSG00000012428,Steap4,0.13513513513513514,0.14077827048884164,0.5811309043936491
MG,ENSMUSG00000090084,Srpx,0.10810810810810811,0.08528510849352176,0.5772703751022281
MG,ENSMUSG00000050967,Creg2,0.07207207207207207,0.06018780049908438,0.5771980180230081
MG,ENSMUSG00000029831,Npvf,0.08408408408408409,0.1417902763215617,0.5614560055712379
MG,ENSMUSG00000031548,Sfrp1,0.4984984984984985,0.7949600839844913,0.5288897173836427
MG,ENSMUSG00000032332,Col12a1,0.43243243243243246,0.5544794676099681,0.5220914344356473
MG,ENSMUSG00000021214,Akr1c18,0.17117117117117117,0.23403410404158173,0.5203996233896717
MG,ENSMUSG00000001827,Folr1,0.27927927927927926,0.2973298971264122,0.5182539667832966
MG,ENSMUSG00000024747,Aldh1a7,0.11411411411411411,0.0937567912070844,0.5162707057948885
MG,ENSMUSG00000001773,Folh1,0.25825825825825827,0.2348247016035932,0.5148207081677671
MG,ENSMUSG00000001021,S100a3,0.05405405405405406,0.06467084107265225,0.5136332964963817
MG,ENSMUSG00000035407,Kank4,0.15615615615615616,0.12131058522630749,0.5115823041659111
MG,ENSMUSG00000024421,Lama3,0.12912912912912913,0.09181632343216846,0.5086316265693012
MG,ENSMUSG00000029718,Pcolce,0.35135135135135137,0.42326915461432857,0.5007914963310898
MG,ENSMUSG00000067158,Col4a4,0.2672672672672673,0.387703016754093,0.49914886687621185
MG,ENSMUSG00000020183,Cpm,0.0960960960960961,0.07308859006524959,0.4982151028901721
MG,ENSMUSG00000020241,Col6a2,0.09009009009009009,0.08033431463342312,0.49747854922087975
MG,ENSMUSG00000032377,Plscr4,0.06306306306306306,0.04438580769039884,0.49518737533091917
MG,ENSMUSG00000034810,Scn7a,0.34234234234234234,0.4105894111126669,0.4927442236026831
MG,ENSMUSG00000064246,Chil1,0.4024024024024024,0.8300118866942787,0.48776262083655764
MG,ENSMUSG00000036169,Sostdc1,0.1111111111111111,0.07502629707291138,0.48723779138311984
MG,ENSMUSG00000031778,Cx3cl1,0.15915915915915915,0.14762764001891007,0.4869947391478404
MG,ENSMUSG00000053166,Cdh22,0.24924924924924924,0.21227448945304245,0.4859414859215023
MG,ENSMUSG00000071984,Fndc1,0.27627627627627627,0.3176409700092379,0.48557951943379984
MG,ENSMUSG00000022018,Rgcc,0.09009009009009009,0.06475215972826072,0.4851913562711859
MG,ENSMUSG00000001663,Gstt1,0.33633633633633636,0.36045876750348294,0.4842606462086574
MG,ENSMUSG00000047992,Dipk1c,0.057057057057057055,0.03549963306700612,0.4769679937098392
MG,ENSMUSG00000036834,Plch1,0.3063063063063063,0.34989292339979317,0.47688608392986287
MG,ENSMUSG00000074934,Grem1,0.2072072072072072,0.426797127619477,0.47640630222202385
MG,ENSMUSG00000062563,Cys1,0.07507507507507508,0.04928571263516329,0.47611370242668716
MG,ENSMUSG00000029648,Flt1,0.3153153153153153,0.3596327722967417,0.47481297762187
MG,ENSMUSG00000032372,Plscr2,0.14114114114114115,0.09227098731940982,0.4744796489911868
MG,ENSMUSG00000041577,Prelp,0.6486486486486487,1.5044311399182217,0.4702163616799544
MG,ENSMUSG00000035805,Mlc1,0.35735735735735735,0.388284116936477,0.4671123296361829
MG,ENSMUSG00000021765,Fst,0.4894894894894895,0.7819001975994128,0.4662226350015023
MG,ENSMUSG00000031636,Pdlim3,0.2132132132132132,0.22381841663990296,0.46533773401003165
MG,ENSMUSG00000027656,Ccn5,0.06606606606606606,0.06627832310608348,0.460102565620073
MG,ENSMUSG00000042436,Mfap4,0.1021021021021021,0.0925143128193891,0.458802367244465
MG,ENSMUSG00000031209,Heph,0.17117117117117117,0.1377296903420251,0.45875050079026314
MG,ENSMUSG00000026051,Ecrg4,0.10510510510510511,0.06655419053408723,0.4576719948782296
MG,ENSMUSG00000079415,Cntf,0.14714714714714713,0.12853272528198112,0.45198198261705114
MG,ENSMUSG00000020053,Igf1,0.2912912912912913,0.644166471935107,0.45051737312618634
MG,ENSMUSG00000004665,Cnn2,0.5585585585585585,0.868392222466565,0.44999954051473334
MG,ENSMUSG00000035783,Acta2,0.5555555555555556,2.8011632086043607,0.4473677460846215
MG,ENSMUSG00000015966,Il17rb,0.05405405405405406,0.037423827851104534,0.4422830773240164
MG,ENSMUSG00000025492,Ifitm3,0.17417417417417416,0.2245225543323902,0.4414949401342171
MG,ENSMUSG00000024232,Bambi,0.25825825825825827,0.1853367468745498,0.43956131089787853
MG,ENSMUSG00000067818,Myl9,0.3813813813813814,0.6258991819701978,0.43800027924560136
MG,ENSMUSG00000032554,Trf,0.3933933933933934,0.8083332269283865,0.43692286163035376
MG,ENSMUSG00000021340,Gpld1,0.26426426426426425,0.2138523960081807,0.43568787932421205
MG,ENSMUSG00000024411,Aqp4,0.6336336336336337,1.2399811493834536,0.4356596713014462
MG,ENSMUSG00000027962,Vcam1,0.4744744744744745,0.6038125739898926,0.43525194939816225
MG,ENSMUSG00000026389,Steap3,0.14414414414414414,0.09645142648292165,0.4348703990301044
MG,ENSMUSG00000028270,Gbp2,0.14114114114114115,0.11829994267825289,0.43394932011281173
MG,ENSMUSG00000022894,Adamts5,0.6936936936936937,1.322500706617517,0.43330240885187443
MG,ENSMUSG00000031596,Slc7a2,0.7057057057057057,1.2195827326207933,0.4330637247218213
MG,ENSMUSG00000049107,Ntf3,0.13813813813813813,0.10217794912441226,0.4320624580286254
MG,ENSMUSG00000047638,Nr1h4,0.1021021021021021,0.07467904291967288,0.4320259888749304
MG,ENSMUSG00000026147,Col9a1,0.2072072072072072,0.20046192926626244,0.4314811107323715
MG,ENSMUSG00000044726,Erich5,0.2012012012012012,0.17813642288663437,0.43147702055784665
MG,ENSMUSG00000039313,Minar1,0.06306306306306306,0.05075634868229637,0.43095225357221123
MG,ENSMUSG00000028776,Tinagl1,0.06006006006006006,0.08751523662343053,0.4287631770830461
MG,ENSMUSG00000024620,Pdgfrb,0.13513513513513514,0.0921325150742711,0.427102339767494
MG,ENSMUSG00000024899,Papss2,0.08408408408408409,0.06561058987525291,0.4236328511411296
MG,ENSMUSG00000034227,Foxj1,0.1111111111111111,0.09862220898616084,0.42334843971830594
MG,ENSMUSG00000017390,Aldoc,0.2732732732732733,0.2889636633820148,0.42102383173075386
MG,ENSMUSG00000029381,Shroom3,0.8918918918918919,4.39987712425269,0.41996744760529603
MG,ENSMUSG00000047161,Chst9,0.09009009009009009,0.09326430687147953,0.41823702848122746
MG,ENSMUSG00000049907,Rasl11b,0.05405405405405406,0.0268781598706584,0.4176662828076976
MG,ENSMUSG00000031351,Zfp185,0.07507507507507508,0.04424940615093733,0.41764523408660037
MG,ENSMUSG00000047996,Prrg1,0.21621621621621623,0.23784929152847198,0.41468629892667164
MG,ENSMUSG00000037411,Serpine1,0.11411411411411411,0.2014742352891169,0.41425845785618
MG,ENSMUSG00000031853,Map3k21,0.06306306306306306,0.035847965291855945,0.412658968322005
MG,ENSMUSG00000018217,Pmp22,0.6156156156156156,0.9443902886133756,0.4112034930199848
MG,ENSMUSG00000054226,Tprkb,0.4144144144144144,0.41643103505817475,0.41116720865271983
MG,ENSMUSG00000021957,Tkt,0.44144144144144143,0.46885576966912645,0.4093244743609319
MG,ENSMUSG00000044708,Kcnj10,0.1021021021021021,0.09632156885285825,0.40895154747517315
MG,ENSMUSG00000003526,Prodh,0.06606606606606606,0.05574624257429488,0.4086274448389069
MG,ENSMUSG00000032719,Sbspon,0.4264264264264264,0.47386738516479576,0.4083155194957415
MG,ENSMUSG00000007655,Cav1,0.2672672672672673,0.20907124683913098,0.4082241327852294
MG,ENSMUSG00000061878,Sphk1,0.29429429429429427,0.29526243359224785,0.4075904908108199
MG,ENSMUSG00000015133,Lrrk1,0.4744744744744745,0.5258421287878492,0.40606474312498475
MG,ENSMUSG00000033715,Akr1c14,0.06606606606606606,0.04146815773210493,0.40580624730403225
MG,ENSMUSG00000002797,Ggct,0.05405405405405406,0.06012251774780631,0.4043013447045185
MG,ENSMUSG00000030554,Synm,0.3663663663663664,0.4075779488699458,0.40184167789451497
MG,ENSMUSG00000017446,C1qtnf1,0.06606606606606606,0.05574455433764172,0.40168614843412676
MG,ENSMUSG00000034422,Parp14,0.13513513513513514,0.08011864773973848,0.4010456428263064
MG,ENSMUSG00000029851,Tcaf2,0.1111111111111111,0.09464534867008517,0.40096950494181827
MG,ENSMUSG00000002020,Ltbp2,0.07207207207207207,0.10809133413303461,0.4003386109465883
MG,ENSMUSG00000035873,Pawr,0.3663663663663664,0.3447560063690522,0.39944892714852287
MG,ENSMUSG00000039323,Igfbp2,0.9099099099099099,7.956127112306776,0.39931220379037113
MG,ENSMUSG00000024074,Crim1,0.8918918918918919,3.9981324310487034,0.39862536793564574
MG,ENSMUSG00000052560,Cpne8,0.5165165165165165,0.7217403889342601,0.3982815369802297
MG,ENSMUSG00000032420,Nt5e,0.14714714714714713,0.09491929232939506,0.39796712431055925
MG,ENSMUSG00000068196,Col8a1,0.6846846846846847,2.5231702648243295,0.3923970907786931
MG,ENSMUSG00000032085,Tagln,0.3783783783783784,1.0454957285007294,0.39054980848059784
MG,ENSMUSG00000037921,Ddx60,0.07207207207207207,0.050880585758000425,0.3904632014317201
MG,ENSMUSG00000036040,Adamtsl2,0.15015015015015015,0.15105171164529418,0.38875060308166065
MG,ENSMUSG00000026778,Prkcq,0.39039039039039036,0.37972810633449294,0.3835231761050739
MG,ENSMUSG00000028943,Espn,0.3033033033033033,0.3671420377279634,0.3824181947315882
MG,ENSMUSG00000038058,Nod1,0.057057057057057055,0.03511296260102916,0.3823259334860798
MG,ENSMUSG00000024697,Gna14,0.6996996996996997,1.5870214276198207,0.3782851013975834
MG,ENSMUSG00000000058,Cav2,0.12312312312312312,0.09775060944208386,0.3760128070951535
MG,ENSMUSG00000028655,Mfsd2a,0.3123123123123123,0.3303551627290092,0.37447613212406383
MG,ENSMUSG00000001131,Timp1,0.16816816816816818,0.17349342073341978,0.3729738354205042
MG,ENSMUSG00000028370,Pappa,0.2132132132132132,0.2736004365124103,0.3726798948278164
MG,ENSMUSG00000031740,Mmp2,0.13213213213213212,0.14556809515344624,0.3723755176815332
MG,ENSMUSG00000020467,Efemp1,0.7537537537537538,1.3329497810923019,0.3711851879128991
MG,ENSMUSG00000040138,Ndp,0.15015015015015015,0.15686703602113625,0.37070018543104344
MG,ENSMUSG00000036570,Fxyd1,0.12912912912912913,0.13069756605474434,0.3702523499628536
MG,ENSMUSG00000044006,Cilp2,0.07807807807807808,0.06412912069286586,0.3696967134623217
MG,ENSMUSG00000026158,Ogfrl1,0.8108108108108109,2.0820531521063894,0.36837352435044224
MG,ENSMUSG00000003617,Cp,0.993993993993994,12.927356871390256,0.3683577140728077
MG,ENSMUSG00000001119,Col6a1,0.05105105105105105,0.0452977039381667,0.36823464911357306
MG,ENSMUSG00000118491,Zfp91,0.2012012012012012,0.17824838284075706,0.3680935319365112
MG,ENSMUSG00000036256,Igfbp7,0.5615615615615616,1.3221360712636747,0.3678079330037478
MG,ENSMUSG00000031283,Chrdl1,0.8828828828828829,2.7852548030462305,0.36756015345646453
MG,ENSMUSG00000037348,Paqr7,0.06906906906906907,0.04652788120959339,0.3674415864063273
MG,ENSMUSG00000053626,Tll1,0.12312312312312312,0.14632671030484587,0.3665179174734533
MG,ENSMUSG00000030513,Pcsk6,0.07207207207207207,0.05334604440346852,0.3650491711450986
