cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
Reprogramming,ENSMUSG00000023019,Gpd1,0.09251833740831296,0.1812398507798667,0.5776228010950786
Reprogramming,ENSMUSG00000039194,Rlbp1,0.09315403422982885,0.12648320591550583,0.5438693894440876
Reprogramming,ENSMUSG00000027967,Neurog2,0.09946210268948655,0.13578029360537933,0.5411746715032273
Reprogramming,ENSMUSG00000035606,Ky,0.06083129584352078,0.06599280106215762,0.5399731389065343
Reprogramming,ENSMUSG00000020704,Asic2,0.1451833740831296,0.6765634178796393,0.5388466719000964
Reprogramming,ENSMUSG00000028927,Padi2,0.45828850855745723,0.9219404519663713,0.5384154303505716
Reprogramming,ENSMUSG00000049612,Omg,0.058973105134474325,0.0692726929885211,0.5331277652769395
Reprogramming,ENSMUSG00000039904,Gpr37,0.5452811735941321,1.160813133472562,0.5167197487123758
Reprogramming,ENSMUSG00000010064,Slc38a3,0.19290953545232273,0.264616450115782,0.5124789335569664
Reprogramming,ENSMUSG00000045532,C1ql1,0.39359413202933985,0.6824464667143825,0.5053127287108816
Reprogramming,ENSMUSG00000074486,Bglap2,0.05232273838630807,0.06670361808111337,0.5020460291212896
Reprogramming,ENSMUSG00000015533,Itga2,0.05354523227383863,0.07009793031338966,0.4952112028662884
Reprogramming,ENSMUSG00000028012,Rrh,0.0619559902200489,0.05832463005257931,0.49510193881467623
Reprogramming,ENSMUSG00000032017,Grik4,0.20078239608801957,0.3667592392255632,0.4948174860736425
Reprogramming,ENSMUSG00000059187,Tafa1,0.359559902200489,0.8597278481456384,0.49240728607237927
Reprogramming,ENSMUSG00000062960,Kdr,0.460440097799511,1.087139189833384,0.47525561711248265
Reprogramming,ENSMUSG00000051359,Ncald,0.8297799511002445,3.6200836255114432,0.4712120387094987
Reprogramming,ENSMUSG00000025964,Adam23,0.40449877750611246,0.6225657847695221,0.4712037483813146
Reprogramming,ENSMUSG00000004031,Brinp2,0.2941320293398533,0.6206189039812472,0.4702440579404292
Reprogramming,ENSMUSG00000063681,Crb1,0.33183374083129585,0.6272738811887393,0.46133656528809164
Reprogramming,ENSMUSG00000032172,Olfm2,0.5556479217603912,1.534998292310782,0.4445823215054757
Reprogramming,ENSMUSG00000026109,Tmeff2,0.7955012224938875,3.9349863433178522,0.4440174006254636
Reprogramming,ENSMUSG00000029095,Ablim2,0.09271393643031785,0.09103522021958355,0.4416389874782798
Reprogramming,ENSMUSG00000025813,Homer2,0.5158924205378973,1.2150126628873594,0.4398420330057504
Reprogramming,ENSMUSG00000073910,Mob3b,0.34034229828850854,0.7445836940504438,0.43792957578376335
Reprogramming,ENSMUSG00000024176,Sox8,0.337799511002445,0.46545056777948624,0.4346213835999444
Reprogramming,ENSMUSG00000020926,Adam11,0.10288508557457213,0.1166144291315953,0.43362827722288855
Reprogramming,ENSMUSG00000060429,Sntb1,0.5335941320293398,1.273280925424975,0.4335371104892295
Reprogramming,ENSMUSG00000024518,Rax,0.08405867970660147,0.09763084154734342,0.43286737666196096
Reprogramming,ENSMUSG00000030905,Crym,0.3660146699266504,0.987873231430662,0.43285313639806644
Reprogramming,ENSMUSG00000038156,Spon1,0.7508557457212713,2.7612607862224037,0.4322938925201908
Reprogramming,ENSMUSG00000070695,Cntnap5a,0.06469437652811735,0.1235403093181242,0.4285724244152501
Reprogramming,ENSMUSG00000036510,Cdh8,0.05163814180929095,0.06884008904888687,0.42828025077017084
Reprogramming,ENSMUSG00000040724,Kcna2,0.14616136919315403,0.24129464776975137,0.4264219598728046
Reprogramming,ENSMUSG00000034324,Tmem132c,0.2517359413202934,0.38983623950754714,0.42322735897485964
Reprogramming,ENSMUSG00000031825,Crispld2,0.20493887530562346,0.28476140593935473,0.4218070149572475
Reprogramming,ENSMUSG00000024411,Aqp4,0.12420537897310513,0.17916776294746284,0.42170593750204244
Reprogramming,ENSMUSG00000030310,Slc6a1,0.05212713936430318,0.054880576393159755,0.41779833082885187
Reprogramming,ENSMUSG00000098599,Gm27627,0.06801955990220049,0.06095137567411101,0.4176142927806551
Reprogramming,ENSMUSG00000041544,Disp3,0.18102689486552567,0.28460916371116995,0.41631918835067383
Reprogramming,ENSMUSG00000043850,Clrn1,0.10083129584352078,0.09783799088338577,0.41628928988747727
Reprogramming,ENSMUSG00000064246,Chil1,0.05867970660146699,0.10093408554540056,0.41375877223563184
Reprogramming,ENSMUSG00000055109,Gm15155,0.08679706601466992,0.11504049100234909,0.4121834380701893
Reprogramming,ENSMUSG00000091387,Gcnt4,0.07623471882640587,0.06892149669202087,0.40859598127604835
Reprogramming,ENSMUSG00000036095,Dgkb,0.18943765281173594,0.23947105993067583,0.40857208687006485
