cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
Astrocyte-derived_neuron,ENSMUSG00000006546,Cryba2,0.09366754617414248,0.38232985077756604,0.9136634299902971
Astrocyte-derived_neuron,ENSMUSG00000026934,Lhx3,0.05672823218997362,0.11570992345209874,0.9063296295514135
Astrocyte-derived_neuron,ENSMUSG00000009734,Pou6f2,0.27440633245382584,1.2032351353407547,0.9025904328957858
Astrocyte-derived_neuron,ENSMUSG00000042529,Kcnj12,0.06860158311345646,0.08328601800585193,0.8851874061020466
Astrocyte-derived_neuron,ENSMUSG00000032356,Rasgrf1,0.07783641160949868,0.12745652446473,0.8810931031556388
Astrocyte-derived_neuron,ENSMUSG00000060913,Trim55,0.11213720316622691,0.18310599571449004,0.8758148915399616
Astrocyte-derived_neuron,ENSMUSG00000079465,Col4a3,0.2796833773087071,0.6037013823241371,0.8592773573336134
Astrocyte-derived_neuron,ENSMUSG00000117286,Gm1043,0.10949868073878628,0.12148748840267358,0.8335288545939173
Astrocyte-derived_neuron,ENSMUSG00000020169,Best3,0.05013192612137203,0.0653511812805492,0.7947321980867794
Astrocyte-derived_neuron,ENSMUSG00000029608,Rph3a,0.1662269129287599,0.29022575013063207,0.7856435977411467
Astrocyte-derived_neuron,ENSMUSG00000048038,Ccdc187,0.11873350923482849,0.16022378824836586,0.7802764543093343
Astrocyte-derived_neuron,ENSMUSG00000042793,Lgr6,0.21240105540897097,0.37222666578959923,0.7705055450357324
Astrocyte-derived_neuron,ENSMUSG00000063626,Unc5d,0.29683377308707126,1.632393092418379,0.7695313262776652
Astrocyte-derived_neuron,ENSMUSG00000022382,Wnt7b,0.47493403693931396,1.2627064704096715,0.7589976075199134
Astrocyte-derived_neuron,ENSMUSG00000051401,Kctd16,0.24142480211081793,0.5215620362536346,0.7283585267894983
Astrocyte-derived_neuron,ENSMUSG00000079056,Kcnip3,0.15303430079155672,0.3055049771678263,0.7257332639292495
Astrocyte-derived_neuron,ENSMUSG00000047591,Mafa,0.11477572559366754,0.21115474298926037,0.7102169396504503
Astrocyte-derived_neuron,ENSMUSG00000047143,Dmrta2,0.3403693931398417,0.5338829820969893,0.7064410997705173
Astrocyte-derived_neuron,ENSMUSG00000031285,Dcx,0.41424802110817943,1.4430792619742046,0.7062545418458412
Astrocyte-derived_neuron,ENSMUSG00000058153,Sez6l,0.11477572559366754,0.221307713767315,0.7057634549394294
Astrocyte-derived_neuron,ENSMUSG00000040536,Necab1,0.2955145118733509,0.4780118140996367,0.7031100421892661
Astrocyte-derived_neuron,ENSMUSG00000091002,Tcerg1l,0.19788918205804748,0.37148056361703186,0.7016792376678511
Astrocyte-derived_neuron,ENSMUSG00000058248,Kcnh1,0.4736147757255937,1.3732977708112188,0.7002571427363234
Astrocyte-derived_neuron,ENSMUSG00000026167,Wnt10a,0.11741424802110818,0.1601506862092795,0.687717149483012
Astrocyte-derived_neuron,ENSMUSG00000016028,Celsr1,0.05408970976253298,0.05328530856094612,0.672863907345321
Astrocyte-derived_neuron,ENSMUSG00000029096,Htra3,0.6253298153034301,3.2521187772871136,0.6676883034336651
Astrocyte-derived_neuron,ENSMUSG00000028883,Sema3a,0.5501319261213721,1.9776974802664486,0.6640742489149507
Astrocyte-derived_neuron,ENSMUSG00000020848,Doc2b,0.21108179419525067,0.40775010456558797,0.660215300404603
Astrocyte-derived_neuron,ENSMUSG00000036422,Pcdh8,0.06728232189973615,0.148882106012418,0.6601068650873879
Astrocyte-derived_neuron,ENSMUSG00000067158,Col4a4,0.3812664907651715,0.7903661773356139,0.6565857677309261
Astrocyte-derived_neuron,ENSMUSG00000043639,Rbm20,0.3944591029023747,0.682712939163076,0.6511060669052209
Astrocyte-derived_neuron,ENSMUSG00000032289,Thsd4,0.5765171503957783,2.8473318092672697,0.6439808352959229
Astrocyte-derived_neuron,ENSMUSG00000032503,Arpp21,0.17678100263852242,0.417532721969015,0.6365063178723636
Astrocyte-derived_neuron,ENSMUSG00000026787,Gad2,0.10158311345646438,0.1483301746157592,0.6279216762660209
Astrocyte-derived_neuron,ENSMUSG00000043301,Kcnj6,0.12532981530343007,0.26350970559673936,0.6225478740405861
Astrocyte-derived_neuron,ENSMUSG00000021728,Emb,0.6569920844327177,1.8052916420878742,0.6190280361574468
Astrocyte-derived_neuron,ENSMUSG00000048485,Zbtb8b,0.08575197889182058,0.08271174968633196,0.6180228345186825
