cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
FibroL,ENSMUSG00000056174,Col8a2,0.08282036933407946,0.08917576809083272,0.7744097262529878
FibroL,ENSMUSG00000026564,Dusp27,0.16088416340235032,0.11767353222314611,0.7201195800977986
FibroL,ENSMUSG00000027913,Crct1,0.13374370453273643,0.23643809869774415,0.7046765414428726
FibroL,ENSMUSG00000091898,Tnnc1,0.16787912702853947,0.16973147633080227,0.6894339135585867
FibroL,ENSMUSG00000030218,Mgp,0.693900391717963,2.7715959253534823,0.6779843675314061
FibroL,ENSMUSG00000026208,Des,0.41214325685506437,0.9007373457466619,0.6716633413834446
FibroL,ENSMUSG00000036856,Wnt4,0.3522663682148853,0.46550354059208654,0.6574592040943874
FibroL,ENSMUSG00000034353,Ramp1,0.11947397873531057,0.08903425356863744,0.6513510571253209
FibroL,ENSMUSG00000051048,P4ha3,0.10100727476217124,0.067299007396206,0.6496751243074983
FibroL,ENSMUSG00000027750,Postn,0.8010632344711808,2.363895581806625,0.6414913427477352
FibroL,ENSMUSG00000047497,Adamts12,0.5386121992165641,0.6764065302337429,0.6408131133706896
FibroL,ENSMUSG00000061723,Tnnt3,0.05595970900951315,0.036558258143393384,0.6386920995515855
FibroL,ENSMUSG00000024678,Ms4a4d,0.0621152770005596,0.04840572171980202,0.6362565643277156
FibroL,ENSMUSG00000026414,Tnnt2,0.060996082820369335,0.0618465633484974,0.6326635715283581
FibroL,ENSMUSG00000031997,Trpc6,0.10968102965864578,0.07308821648988426,0.630952329346992
FibroL,ENSMUSG00000094651,Gal3st2,0.08310016787912702,0.049976927445456225,0.6283710148580565
FibroL,ENSMUSG00000063838,Cdc42ep5,0.08477895914941243,0.05582334542382492,0.6256984795953285
FibroL,ENSMUSG00000036412,Arsi,0.1242305540011192,0.17267334056490527,0.6240761386040641
FibroL,ENSMUSG00000048126,Col6a3,0.1421376608841634,0.12554702004010085,0.6184290763595273
FibroL,ENSMUSG00000074743,Thbd,0.4924454392837157,0.6959268906631375,0.6174135546501524
FibroL,ENSMUSG00000064080,Fbln2,0.30693900391717965,0.4879334301538447,0.6167839204781185
FibroL,ENSMUSG00000028031,Dkk2,0.12395075545607163,0.12457164239472898,0.6162475804002272
FibroL,ENSMUSG00000020689,Itgb3,0.05456071628427532,0.030627306768044527,0.6137206663087067
FibroL,ENSMUSG00000032487,Ptgs2,0.1779518746502518,0.1666365051090444,0.6096440811236319
FibroL,ENSMUSG00000098666,Mir6950,0.1301063234471181,0.07360893772761433,0.6057533424964763
FibroL,ENSMUSG00000046714,Foxc2,0.05176273083379966,0.029664500970449835,0.6044707696103381
FibroL,ENSMUSG00000001506,Col1a1,0.6972579742585339,5.121775804311682,0.6027616216306914
