cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
NeuPre,ENSMUSG00000030350,Prmt8,0.10352039037992332,0.13429062303946068,0.6685374478893755
NeuPre,ENSMUSG00000060257,Scrt2,0.05472289996514465,0.050033254193406596,0.6397250381472254
NeuPre,ENSMUSG00000030110,Ret,0.07459044963401883,0.09056187905446593,0.6383582298924396
NeuPre,ENSMUSG00000030226,Lmo3,0.11362844196584175,0.15964572116605041,0.580431052867319
NeuPre,ENSMUSG00000070695,Cntnap5a,0.27953990937608925,0.6356787582588085,0.5690051390881095
NeuPre,ENSMUSG00000029757,Dync1i1,0.6207737887765772,2.4891299251198915,0.5630890156235887
NeuPre,ENSMUSG00000002930,Ppp1r17,0.07040780759846636,0.06826150849398317,0.5390515690797623
NeuPre,ENSMUSG00000022861,Dgkg,0.16172882537469502,0.37993065277756155,0.5102299088297932
NeuPre,ENSMUSG00000026452,Syt2,0.0724991286162426,0.0933061117239497,0.50146567091374
NeuPre,ENSMUSG00000034584,Exph5,0.07040780759846636,0.06717080102359678,0.49066963868404456
NeuPre,ENSMUSG00000010021,Kif19a,0.1753224119902405,0.21406844321161797,0.4756852619520372
NeuPre,ENSMUSG00000040724,Kcna2,0.49773440223074245,1.0964754906203409,0.46972647913360566
NeuPre,ENSMUSG00000032259,Drd2,0.16277448588358312,0.2219446293818899,0.46253311609028125
NeuPre,ENSMUSG00000036422,Pcdh8,0.11049146043917742,0.12635310341397304,0.4549895165116419
NeuPre,ENSMUSG00000060735,Rxfp3,0.05228302544440572,0.05749006688720967,0.45496360402564395
NeuPre,ENSMUSG00000035551,Igfbpl1,0.3726036946671314,0.6557104029681049,0.45331960408909167
NeuPre,ENSMUSG00000042631,Xkr7,0.1599860578598815,0.166641947040444,0.44109430661595017
NeuPre,ENSMUSG00000056073,Grik2,0.7180202161031718,3.158797109799753,0.43922397021727433
NeuPre,ENSMUSG00000051079,Rgs13,0.22063436737539213,0.3092661303322943,0.4329066410962562
NeuPre,ENSMUSG00000019888,Mgat4c,0.17148832345765075,0.3024206413408656,0.4315413511569397
NeuPre,ENSMUSG00000040452,Cdh12,0.07877309166957128,0.10484571818840328,0.4225512179265355
NeuPre,ENSMUSG00000071862,Lrrtm2,0.09794353433252004,0.0958482737751346,0.4186403799369406
NeuPre,ENSMUSG00000024245,Tmem178,0.15440920181247822,0.18353150091987644,0.4175263784504193
NeuPre,ENSMUSG00000028373,Astn2,0.7455559428372255,3.0389798250604336,0.4117516980832966
NeuPre,ENSMUSG00000040957,Cables1,0.12966190310212616,0.1271229785286385,0.41101941238564565
NeuPre,ENSMUSG00000028546,Elavl4,0.06169397002439875,0.08510527997852481,0.41078942698588483
NeuPre,ENSMUSG00000052302,Tbc1d30,0.14081561519693273,0.1636954753266821,0.41044600807059806
NeuPre,ENSMUSG00000027525,Phactr3,0.10142906936214709,0.10263293299114262,0.4090529171683558
NeuPre,ENSMUSG00000042388,Dlgap3,0.33635413035901013,0.4370952826219982,0.4077437667084606
NeuPre,ENSMUSG00000041544,Disp3,0.44545137678633673,0.7997232759844941,0.4056123596833602
NeuPre,ENSMUSG00000053199,Arhgap20,0.12861624259323806,0.1479114996182928,0.4006555394656731
NeuPre,ENSMUSG00000036466,Megf11,0.32241199024050193,0.9738787965425784,0.3984766599526457
NeuPre,ENSMUSG00000036377,C530008M17Rik,0.6720111537120949,1.2921138177354978,0.39496299669026336
NeuPre,ENSMUSG00000020805,Slc13a5,0.055768560474032766,0.06564082579069146,0.3946342699019001
NeuPre,ENSMUSG00000026614,Slc30a10,0.053677239456256534,0.05376582082628511,0.39414443611452965
NeuPre,ENSMUSG00000050663,Trhde,0.10630881840362495,0.17455861326583313,0.3920720905464006
NeuPre,ENSMUSG00000032017,Grik4,0.4503311258278146,1.103401678967758,0.39160070461436824
NeuPre,ENSMUSG00000016346,Kcnq2,0.30289299407459047,0.45630691105151516,0.3915516339305165
NeuPre,ENSMUSG00000047496,Rnf152,0.2610665737190659,0.33421601887443586,0.39025206536418133
NeuPre,ENSMUSG00000061080,Lsamp,0.9557337051237365,11.8879803224284,0.3874025440796012
NeuPre,ENSMUSG00000004031,Brinp2,0.640989891948414,1.7878945064808796,0.3867956698110927
NeuPre,ENSMUSG00000002341,Ncan,0.13976995468804462,0.16463734925214474,0.386527709342401
NeuPre,ENSMUSG00000079157,Fam155a,0.6556291390728477,2.8425118303368313,0.38456152435058544
NeuPre,ENSMUSG00000059203,Il1rapl2,0.08260718020216103,0.17994518621095942,0.3836494859920677
NeuPre,ENSMUSG00000040616,Tmem51,0.18089926803764378,0.20979681326646543,0.38355551276647026
NeuPre,ENSMUSG00000044349,Snhg11,0.06273963053328686,0.06756805506452743,0.383527287823589
NeuPre,ENSMUSG00000047085,Lrrc4b,0.2582781456953642,0.29065666659301476,0.3782679599216505
NeuPre,ENSMUSG00000041362,Shtn1,0.46322760543743463,0.9182235296105333,0.3752949531823344
NeuPre,ENSMUSG00000063446,Plppr1,0.15859184384803068,0.2643223643729648,0.3721144586831415
NeuPre,ENSMUSG00000035606,Ky,0.15963750435691879,0.17045471737540197,0.37167083106489895
NeuPre,ENSMUSG00000039913,Pak7,0.6284419658417567,1.3488739862634755,0.37119415947840884
NeuPre,ENSMUSG00000025020,Slit1,0.6852561868246776,2.5087246851677913,0.36881073789730845
NeuPre,ENSMUSG00000025582,Nptx1,0.21401185081910074,0.30970843325121283,0.36848724346947404
NeuPre,ENSMUSG00000022309,Angpt1,0.4761240850470547,1.1200715176320544,0.36746999900095956
NeuPre,ENSMUSG00000030000,Add2,0.14918089926803765,0.16488457619915908,0.36598304285719807
NeuPre,ENSMUSG00000021047,Nova1,0.5622168002788428,1.2308517341974332,0.36565596833886105
NeuPre,ENSMUSG00000049336,Tenm2,0.4886720111537121,1.4996236184272376,0.36513479327469
NeuPre,ENSMUSG00000023017,Asic1,0.10770303241547577,0.1509249780239088,0.3647017028925522
NeuPre,ENSMUSG00000041216,Clvs1,0.3959567793656326,0.639257318092633,0.36123213255227393
NeuPre,ENSMUSG00000032087,Dscaml1,0.68943882886023,2.8680606990519446,0.36101102055441636
NeuPre,ENSMUSG00000067879,Vxn,0.06936214708957825,0.06465715892755661,0.35996053752519575
NeuPre,ENSMUSG00000039316,Rftn1,0.33565702335308467,0.5262344677374198,0.35967165964535364
NeuPre,ENSMUSG00000032548,Slco2a1,0.0655280585569885,0.0640716270280199,0.3595936584129297
NeuPre,ENSMUSG00000020704,Asic2,0.3715580341582433,1.8201598652804973,0.35896326263581724
NeuPre,ENSMUSG00000053693,Mast1,0.062391077030324156,0.06957874813628792,0.3584921637138949
NeuPre,ENSMUSG00000025576,Rbfox3,0.20738933426280934,0.454781748451832,0.35693836519727473
NeuPre,ENSMUSG00000047139,Cd24a,0.19449285465318927,0.22931670541608873,0.3558352260405696
NeuPre,ENSMUSG00000029053,Prkcz,0.08888114325548972,0.0949526134609742,0.35403634862277256
NeuPre,ENSMUSG00000027967,Neurog2,0.23074241896131056,0.3032144308040489,0.35384790561598733
NeuPre,ENSMUSG00000024534,Sncaip,0.0724991286162426,0.07072512783733728,0.35384380701944473
NeuPre,ENSMUSG00000073910,Mob3b,0.6294876263506448,1.8604410305164412,0.35368129124377923
NeuPre,ENSMUSG00000078532,Nkain1,0.17044266294876265,0.19830651735228313,0.3535682598647806
NeuPre,ENSMUSG00000032394,Igdcc3,0.06134541652143604,0.060657638539863945,0.351043898890404
