cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
Undefined_neuron,ENSMUSG00000025597,Klhl4,0.10135135135135136,0.17589097507785817,0.8679661480727678
Undefined_neuron,ENSMUSG00000005917,Otx1,0.16891891891891891,0.2517677908385269,0.824165702653119
Undefined_neuron,ENSMUSG00000050321,Neto1,0.20945945945945946,0.6095581957311511,0.7793818573143865
Undefined_neuron,ENSMUSG00000005640,Insrr,0.060810810810810814,0.13868014877152493,0.7749376384373234
Undefined_neuron,ENSMUSG00000009734,Pou6f2,0.060810810810810814,0.3211284657968586,0.7666903208360889
Undefined_neuron,ENSMUSG00000096914,Galntl6,0.33783783783783783,0.9887627775388268,0.7466319326314155
Undefined_neuron,ENSMUSG00000032452,Clstn2,0.7567567567567568,8.031120835189212,0.7359918928441807
Undefined_neuron,ENSMUSG00000049176,Frmpd4,0.6283783783783784,2.0990377901985253,0.7302305823080488
Undefined_neuron,ENSMUSG00000020660,Pomc,0.1554054054054054,1.231084443658752,0.7277384986846145
Undefined_neuron,ENSMUSG00000025754,Agbl1,0.12162162162162163,0.29759182431213227,0.7118870409378314
Undefined_neuron,ENSMUSG00000049538,Adamts16,0.31756756756756754,1.2463510119859595,0.7105144989051271
Undefined_neuron,ENSMUSG00000031465,Angpt2,0.06756756756756757,0.13772496308692844,0.7047318897166426
Undefined_neuron,ENSMUSG00000049148,Plcxd3,0.07432432432432433,0.10115603071797281,0.6935808999485084
Undefined_neuron,ENSMUSG00000030518,Fam189a1,0.3783783783783784,1.2907363677337038,0.6771803967944839
Undefined_neuron,ENSMUSG00000047793,Sned1,0.33783783783783783,1.238440762900029,0.6726319823815619
Undefined_neuron,ENSMUSG00000047591,Mafa,0.08783783783783784,0.12793281950032082,0.6618486774099653
Undefined_neuron,ENSMUSG00000043301,Kcnj6,0.18243243243243243,0.5477349825303132,0.6600782277275588
Undefined_neuron,ENSMUSG00000014813,Stc1,0.07432432432432433,0.11443737623612986,0.6508410246297684
Undefined_neuron,ENSMUSG00000017724,Etv4,0.06756756756756757,0.08613447853921632,0.6472794024775789
Undefined_neuron,ENSMUSG00000026787,Gad2,0.20270270270270271,0.4392439907128745,0.6437172087945958
Undefined_neuron,ENSMUSG00000008999,Bmp7,0.22297297297297297,0.38225324132588284,0.6428630952928158
Undefined_neuron,ENSMUSG00000010311,Optc,0.0945945945945946,0.1147312688690481,0.6413982450306054
Undefined_neuron,ENSMUSG00000030209,Grin2b,0.19594594594594594,0.4044588630988984,0.6312752375187801
Undefined_neuron,ENSMUSG00000027684,Mecom,0.34459459459459457,0.773089253948219,0.6288120879337161
Undefined_neuron,ENSMUSG00000058153,Sez6l,0.16216216216216217,0.3426852180736408,0.6260962272562984
Undefined_neuron,ENSMUSG00000036585,Fgf1,0.1554054054054054,0.2772473769526147,0.6160642102928553
Undefined_neuron,ENSMUSG00000063239,Grm4,0.1891891891891892,0.3943686546257952,0.6155472382866474
Undefined_neuron,ENSMUSG00000028222,Calb1,0.16216216216216217,0.3294847126896882,0.6032013194037096
Undefined_neuron,ENSMUSG00000029608,Rph3a,0.08108108108108109,0.1698875210044746,0.5999878962116006
Undefined_neuron,ENSMUSG00000028434,Epb41l4b,0.5472972972972973,1.3756374803866285,0.5917886387100835
Undefined_neuron,ENSMUSG00000055254,Ntrk2,0.7432432432432432,2.1577194466171075,0.5855934779261209
Undefined_neuron,ENSMUSG00000020042,Btbd11,0.722972972972973,2.851661202199257,0.5770189119539775
Undefined_neuron,ENSMUSG00000041592,Sdk2,0.4594594594594595,1.3460137069940497,0.5768767389402631
Undefined_neuron,ENSMUSG00000037681,Esyt3,0.3108108108108108,0.5377214767046947,0.5739368892307816
Undefined_neuron,ENSMUSG00000004347,Pde1c,0.777027027027027,5.643660781401024,0.5648201235844525
Undefined_neuron,ENSMUSG00000046447,Camk2n1,0.49324324324324326,1.8087555935049204,0.5608790016613052
Undefined_neuron,ENSMUSG00000055184,Fam72a,0.05405405405405406,0.08054393286419223,0.5577362321111512
Undefined_neuron,ENSMUSG00000036972,Zic4,0.07432432432432433,0.10803845747339681,0.5522058612157328
Undefined_neuron,ENSMUSG00000015090,Ptgds,0.32432432432432434,1.0986886464802554,0.5517096532739796
Undefined_neuron,ENSMUSG00000025932,Eya1,0.2702702702702703,0.4354685557433204,0.5501905119092237
Undefined_neuron,ENSMUSG00000031285,Dcx,0.32432432432432434,0.9424445881355428,0.5491671803007961
Undefined_neuron,ENSMUSG00000022425,Enpp2,0.05405405405405406,0.0715626895302331,0.5424616075111434
Undefined_neuron,ENSMUSG00000060402,Chst8,0.20945945945945946,0.4885114096864527,0.537702810232491
Undefined_neuron,ENSMUSG00000027748,Trpc4,0.07432432432432433,0.1142124540449109,0.5251836845210881
