MG,#AD859D,#318F87,,#BA4F8F
ProL_early,#C7B7AE,#EDAE49,#206A8D,#E3483C
ProL_late,#AAA9B7,#A84275,#A84275,
Transition,#A8BCAB,#00798C,#00798C,#4D639D
NeuPre,#668C69,#D1495B,#D1495B,#faa63f
BP,#3E6E40,#7F3B8E,#7F3B8E,#A48565
Unknown,#97969C,#97969C,#003D5B,#C7B7AE
ER_stressed,#4D639D,#30638E,#30638E,#B5785D
Immune_reactive,#CCA4A8,#963651,#DF7C52,#B8BAAD
Undefined_neuron,#B8C086,#DF7C52,,#B8BAAD
FibroL,#4D639D,#4D639D,,
Astrocyte,#B63F48,#B63F48,,#E3483C
Proliferating,#D29DB0,#D29DB0,,
Reprogramming,#F3BB6B,#F3BB6B,,#F9C57B
Astrocyte-derived_neuron,#6C2E76,#6C2E76,,
Microglia,#6DA48B,#6DA48B,,
Bipolar,#F0852D,#F0852D,,
